PrimaryKey,SandyESG
NML00000_2020_Sandy_5112019-09-01,yes
NML00000_2020_Sandy_5182019-09-01,yes
NML00000_2019_Mal_3992019-09-01,yes
NML00000_2019_Mal_3952019-09-01,yes
NML00000_2020_Mal_4022019-09-01,yes
NML00000_2019_Shallow_5682019-09-01,yes
NML00000_2019_Shallow_5672019-09-01,yes
NML00000_2020_Shallow_5722019-09-01,yes
NML00000_2020_Sandy_5092019-09-01,yes
NML00000_2020_Shallow_5752019-09-01,yes
NML00000_2020_Gravel_0722019-09-01,yes
NML00000_2019_Loam_3442019-09-01,yes
NML00000_2020_Mal_4052019-09-01,yes
NML00000_2019_Gravel_0672019-09-01,yes
NML00000_2020_Shallow_5732019-09-01,yes
NML00000_2020_Mal_4002019-09-01,yes
NML00000_2019_Shallow_5692019-09-01,yes
NML00000_2020_Gravel_0712019-09-01,yes
NML00000_2020_Gravel_0732019-09-01,yes
NM_LasCrucesTriCounty_2017_SA_413_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SA_421_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_GR_094_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SA_414_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SA_418_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_LO_283_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_BO_031_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_GR_099_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SA_417_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SA_424_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_HI_215_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SA_423_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_BO_036_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_BO_034_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SA_420_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_LO_286_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SS_450_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SS_451_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SS_447_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SA_416_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SS_449_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SA_419_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SS_452_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SS_448_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SA_415_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_SA_422_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_GR_103_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_LHI_263_V12020-09-01,yes
NM_LasCrucesTriCounty_2017_BO_035_V12020-09-01,yes
20163551201612B1,yes
20163551201612B2,yes
20163529201413B1,yes
20163529201413B2,yes
20163513201320B1,yes
20163513201320B2,yes
20163513201317B1,yes
20163513201317B2,yes
20163513201505B1,yes
20163513201505B2,yes
20163513201406B1,yes
20163513201406B2,yes
20153513201411B1,yes
20153513201411B2,yes
