"chckbox","CheckboxLabel","code","DateLoadedInDb","DBKey","Direction","FormDate","FormType","layer","LineKey","LineLengthAmount","Measure","PointLoc","PointNbr","PrimaryKey","ProjectKey","RecKey","ShowCheckbox","ShrubShape","source","SpacingIntervalAmount","SpacingType","DateVisited"
0,"Dead","ARFI2",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"TopCanopy","1904230855027581",25,1,16.5,33,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,"S","TerrADat",50,"cm","2019-04-22 18:00:00"
1,"Dead","ARFI2",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"TopCanopy","1904230855027581",25,1,17,34,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,"S","TerrADat",50,"cm","2019-04-22 18:00:00"
1,"Dead","CHVI8",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"TopCanopy","1904230855027581",25,1,18.5,37,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,NA,"TerrADat",50,"cm","2019-04-22 18:00:00"
1,"Dead","ARFI2",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"TopCanopy","1904230855027581",25,1,21,42,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,"S","TerrADat",50,"cm","2019-04-22 18:00:00"
1,"Dead","ARFI2",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"TopCanopy","1904230855027581",25,1,21.5,43,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,"S","TerrADat",50,"cm","2019-04-22 18:00:00"
0,"Dead","ARTRW8",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"TopCanopy","1904230855027581",25,1,22.5,45,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,"S","TerrADat",50,"cm","2019-04-22 18:00:00"
1,"Dead","ARFI2",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"TopCanopy","1904230855027581",25,1,23.5,47,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,"S","TerrADat",50,"cm","2019-04-22 18:00:00"
1,"Dead","CHVI8",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"TopCanopy","1904230855027581",25,1,24,48,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,NA,"TerrADat",50,"cm","2019-04-22 18:00:00"
0,"Dead","ERNA10",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"TopCanopy","1904230855027581",25,1,24.5,49,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,NA,"TerrADat",50,"cm","2019-04-22 18:00:00"
0,"Dead","ERNA10",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"TopCanopy","1904230855027581",25,1,25,50,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,NA,"TerrADat",50,"cm","2019-04-22 18:00:00"
