"RecKey","subPlotID","subPlotDesc","SpeciesList","DateLoadedInDb","PrimaryKey","DBKey","created_user","created_date","last_edited_user","last_edited_date"
"1907301338297834",1,NA,"DRCU","2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1907301338297834",1,NA,"ELEL5","2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1907301338297834",1,NA,"JUOS","2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1907301338297834",1,NA,"LELU","2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1907301338297834",1,NA,"MAFR3","2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1907301338297834",1,NA,"OPPO","2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1907301338297834",1,NA,"PAMU11","2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1907301338297834",1,NA,"PEEA","2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1907301338297834",1,NA,"PIED","2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1907301338297834",1,NA,"DASE3","2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1907301338297834",1,NA,"POSE","2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1907301338297834",1,NA,"SYOR2","2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1907301338297834",1,NA,"CEMO2","2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1907301338297834",1,NA,"SHRO","2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1907301338297834",1,NA,"ERCO14","2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"ARFI2","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
