"LineKey","RecKey","DateModified","FormType","FormDate","Direction","Measure","LineLengthAmount","SpacingIntervalAmount","SpacingType","HeightOption","HeightUOM","ShowCheckbox","CheckboxLabel","Notes","ShowShrubShape","DateLoadedInDb","LowerHerbHeights","HAF_Other","PrimaryKey","DBKey","created_user","created_date","last_edited_user","last_edited_date"
"1906281404576573","1906281452194368",2019-08-11 03:34:52,"LPI",2019-06-27 18:00:00,"240",1,25,50,"cm","every 5th","cm",1,"dead","",1,"2019-09-01",NA,NA,"19062814045696002019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1906291026395633","1906291049368472",2019-08-10 10:23:27,"LPI",2019-06-28 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"dead","",1,"2019-09-01",NA,NA,"19062910263749062019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1906291026393431","1906291102544569",2019-07-01 06:16:18,"LPI",2019-06-28 18:00:00,"120",1,25,50,"cm","every 5th","cm",1,"dead","",1,"2019-09-01",NA,NA,"19062910263749062019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1906291026397383","1906291117185862",2019-07-01 06:19:51,"LPI",2019-06-28 18:00:00,"240",1,25,50,"cm","every 5th","cm",1,"dead","",1,"2019-09-01",NA,NA,"19062910263749062019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1906151240302219","190630164349686",2019-07-01 06:13:12,"LPI",2019-06-14 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"dead","PF1706 =  ",1,"2019-09-01",NA,NA,"19061512402980792019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1906140739527330","190701142907533",2019-08-11 01:43:39,"LPI",2019-06-13 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"dead","",1,"2019-09-01",NA,NA,"19061407395147852019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907110806582233","1907110841477496",2019-07-15 10:47:42,"LPI",2019-07-10 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","SH00 =  ",1,"2019-09-01",NA,NA,"19071108065862072019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"19071108065831","1907110854036232",2019-09-24 04:26:50,"LPI",2019-07-10 18:00:00,"120",1,25,50,"cm","every 5th","cm",1,"Dead","AF00 =  SH00 =  ",1,"2019-09-01",NA,NA,"19071108065862072019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907110806583982","1907110909153544",2019-07-15 10:48:00,"LPI",2019-07-10 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","SH00 =  AF00 =  ",1,"2019-09-01",NA,NA,"19071108065862072019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907111406501081","1907111442291803",2019-07-15 10:48:29,"LPI",2019-07-10 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","AF00 =  ",1,"2019-09-01",NA,NA,"1907111406492262019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
