"SURVEY","STATE","COUNTY","PSU","POINT","MLRA","OWN","LANDUSE","VERTICAL_SLOPE_SHAPE","HORIZONTAL_SLOPE_SHAPE","SLOPE_PERCENT","SSAID","MUSYM","COMPONENT_NAME","COMPONENT_ID","ECO_SITE_1992","FULL_ESD_PLOT","APPARENT_TREND","BASAL_GAPS_NESW","CANOPY_GAPS_NESW","BASAL_GAPS_NWSE","CANOPY_GAPS_NWSE","PLOT_SIZE_HERB","TOT_ANN_PROD","SIMILARITY_INDEX","PTSTATUS","SOIL_CONFIDENCE_RATING","SLOPE_LENGTH","SLOPE_ASPECT","BIOMASS_PLOT_SIZE_HERB","BIOMASS_PLOT_METHOD","BIOMASS_WOODY_METHOD","GRAZING_USE","HAYED","OPT_SSI_PASTURE","OPT_DWR_PASTURE","OPT_DWR_RANGE","SAGE_EXISTS","PERENNIAL_CANOPY_GAPS_NESW","PERENNIAL_CANOPY_GAPS_NWSE","COMPONENT_HISTORICAL","COMPONENT_CHOSEN","COMPONENT_POPULATED","LANDUSE_SOURCE","GAPS_DIFFERENT_NESW","GAPS_DIFFERENT_NWSE","PLOTKEY","GlobalID","PrimaryKey","created_user","created_date","last_edited_user","last_edited_date","SpeciesState","DBKey"
2016,49,17,"100510B",1,"47","BLM",250,"convex","convex",60,"UT686","5128","","","","N","notapp","","Y","","Y","",0,0,"CO",1,50,"W","","","",1,"N","","","","","Y","Y","","Other","N","Field","N","N","20164917100510B1","{FC12F332-9187-4759-8008-F29734155C77}","20164917100510B1",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,17,"100510B",2,"47","BLM",250,"convex","convex",50,"UT686","5128","","","","N","notapp","","Y","","Y","",0,0,"CO",1,300,"NW","","","",1,"N","","","","","Y","Y","","Other","N","Field","N","N","20164917100510B2","{77B9DCAB-F498-47E6-B4D1-F72AF83CC1F8}","20164917100510B2",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,17,"100516B",1,"47","BLM",250,"concave","concave",20,"UT686","5083","","","","N","notapp","","Y","","Y","",0,0,"CO",1,75,"W","","","",1,"N","","","","","Y","Y","","Other","N","Field","N","N","20164917100516B1","{D7A29862-9FE5-41FF-A6AE-54BC3943791C}","20164917100516B1",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,17,"100516B",2,"47","BLM",250,"concave","concave",28,"UT686","5083","","","","N","away","","Y","","Y","",0,0,"CO",2,90,"W","","","",1,"N","","","","","Y","Y","","Other","N","Field","N","N","20164917100516B2","{F6AFE1E9-291E-4AF6-B6EE-F667D2DDF15C}","20164917100516B2",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,17,"204209B",1,"35","BLM",250,"concave","convex",45,"UT631","88","Other see notes","","","Y","notapp","Y","Y","Y","Y","",0,0,"CO",3,75,"SE","","","",7,"N","","","","","Y","Y","","Other","N","Field","N","N","20164917204209B1","{101A783B-FEE0-4C9E-B574-B5A908D18A75}","20164917204209B1",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,17,"204209B",2,"35","BLM",250,"concave","concave",10,"UT631","8","Rizno, but skeletal","","","Y","notapp","Y","Y","Y","Y","",0,0,"CO",2,100,"S","","","",1,"N","","","","","Y","Y","","12698841","N","Field","N","Y","20164917204209B2","{22765697-BA2B-47B2-90C2-53DBB85BD948}","20164917204209B2",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,17,"204217B",1,"35","BLM",250,"concave","linear",2,"UT686","5112","Ustic Haplargids","","","Y","notapp","Y","Y","Y","Y","",0,0,"CO",2,350,"S","","","",2,"N","","","","","Y","Y","","12744692","N","Field","Y","N","20164917204217B1","{EDE27654-EF73-4294-AC61-35E95652A0E7}","20164917204217B1",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,17,"204217B",2,"35","BLM",250,"concave","concave",1,"UT686","5112","","","","Y","away","Y","Y","Y","Y","",0,0,"CO",3,450,"S","","","",2,"N","","","","","Y","Y","","Other","N","Field","N","N","20164917204217B2","{E72179B2-8842-4649-88ED-BE90A267D599}","20164917204217B2",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,17,"100603B",1,"47","BLM",250,"convex","concave",6,"UT636","61","","","","N","away","","Y","","Y","",0,0,"CO",2,750,"E","","","",3,"N","","","","","Y","Y","","Other","N","Field","N","N","20164917100603B1","{4895F3C2-C9A4-4E14-9EAC-18B095F52347}","20164917100603B1",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,17,"100603B",2,"47","BLM",250,"linear","convex",30,"UT636","41","Dalcan CBV-L 4-25%","12464260","","Y","toward","Y","Y","Y","Y","",0,0,"CO",3,4200,"W","","","",2,"N","","","","","Y","Y","","12464260","Y","Field","N","N","20164917100603B2","{4D1921C5-A27B-49D9-9C76-4F06C5DED8B3}","20164917100603B2",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,17,"100613B",1,"47","BLM",250,"concave","linear",10,"UT636","170","","","","N","notapp","","Y","","Y","",0,0,"CO",2,450,"NW","","","",2,"N","","","","","Y","Y","","Other","N","Field","N","N","20164917100613B1","{CA0691B8-451D-4166-89A0-7F35ECB2E414}","20164917100613B1",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,17,"100613B",2,"47","BLM",250,"linear","concave",12,"UT636","170","","","","Y","notapp","Y","Y","Y","Y","",0,0,"CO",1,900,"N","","","",2,"N","","","","","Y","Y","","Other","N","Field","N","N","20164917100613B2","{70F4ACCB-506D-4323-B9F9-69415FC2AFA2}","20164917100613B2",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,17,"100713B",1,"47","BLM",250,"linear","linear",3,"UT636","23","","","","N","away","","Y","","Y","",0,0,"CO",1,450,"NW","","","",2,"N","","","","","Y","Y","","Other","N","Field","Y","N","20164917100713B1","{610F130C-F266-4F14-96E7-CA557753DE24}","20164917100713B1",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,17,"100713B",2,"47","BLM",250,"linear","concave",2,"UT636","113","Plite SL 2-8%","12464409","","N","away","","Y","","Y","",0,0,"CO",2,100,"NW","","","",3,"N","","","","","Y","Y","","12464409","Y","Field","N","N","20164917100713B2","{189F1A61-6677-4C4E-A4A1-C83BC40D0865}","20164917100713B2",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,25,"201503B",2,"35","BLM",250,"convex","convex",9,"UT686","5127","Skyvillage LS 2-15%","12744674","","N","notapp","","Y","","Y","",0,0,"CO",1,150,"N","","","",9,"N","","","","","Y","Y","","12744674","Y","Field","Y","N","20164925201503B2","{7EC87B6B-22FE-49D6-99E5-9291F2FE1CEF}","20164925201503B2",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,25,"203101B",1,"35","BLM",250,"linear","linear",2,"UT686","5181","Plumasano LFS 2-15%, moist","12744897","","N","toward","","Y","","Y","",0,0,"CO",2,500,"NA","","","",9,"N","","","","","Y","Y","","12744897","Y","Field","Y","Y","20164925203101B1","{57CC6C13-5202-4A5B-82B3-206B86308554}","20164925203101B1",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,25,"203101B",2,"35","BLM",250,"convex","convex",10,"UT686","5181","Pinepoint LFS 2-15%, moist","12744900","","N","away","","Y","","Y","",0,0,"CO",2,350,"S","","","",9,"N","","","","","Y","Y","","12744900","Y","Field","N","N","20164925203101B2","{2EB4C9D9-C47F-4C15-96D3-29E4C883E23E}","20164925203101B2",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,23,"200604B",2,"28A","BLM",250,"linear","linear",4,"","","Theon family","","","N","notapp","","Y","","Y","",0,0,"CO",2,40,"W","","","",1,"N","","","","","Y","Y","","Other","N","Field","Y","Y","20164923200604B2","{23768BD5-90EC-41F2-8F71-C95DD735FFBC}","20164923200604B2",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,23,"200604B",1,"28A","BLM",250,"linear","linear",4,"","","","","","N","notapp","","Y","","Y","",0,0,"CO",2,10,"NW","","","",1,"N","","","","","Y","Y","","Other","N","Field","Y","Y","20164923200604B1","{FE28CCAC-DE5C-45FA-8899-8AF01EC62E46}","20164923200604B1",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
2016,49,23,"200602B",2,"28A","BLM",250,"linear","convex",44,"","","","","","N","notapp","","Y","","Y","",0,0,"CO",2,50,"NW","","","",1,"N","","","","","Y","Y","","Other","N","Field","N","N","20164923200602B2","{B3575D0E-0C5F-48EF-A963-680BF5E5D07C}","20164923200602B2",NA,NA,"DBROWNING",2018-09-21 14:50:56,"UT","2016"
